AAA	Ansett Australia - Australia	ANSETT
SVR	Ural Airlines - Russia	SVERDLOVSK AIR
SVS	Servicios Aereos Saar - Mexico	AEREOS SAAR
SVT	Seven Four Eight Air Services - Luxembourg	SIERRA SERVICES
SVV	Servicios Avensa S.A. (SERVIVENSA) - Venezuela	SERVIVENSA
SVW	Global Jet Luxembourg - Luxembourg	SILVER ARROWS
SVX	Security Aviation - United States	SECURITY AIR
SVY	Cooper Aerial Surveys - United Kingdom	SURVEYOR
SWA	Southwest Airlines - United States	SOUTHWEST
SWB	Swissboogie Parapro - Switzerland	SWISSBOOGIE
SWC	South West Air - Canada	SAINT CLAIR
SWD	Southern Winds - Argentina	SOUTHERN WINDS
SWE	Swedeways - Sweden	SWEDELINE
SWF	Galair International - United Kingdom	GALAIR
SWG	Sunwing Airlines - Canada	SUNWING
SWH	Adler Aviation - Canada	SHOCKWAVE
SWI	Sunworld Airlines - United States	SUNWORLD
SWJ	Stateswest Airlines - United States	STATES
SWK	General Aerospace - Canada	SKYWALKER
SWL	Trans Jet VA - Sweden	SWING
SWN	West Air Sweden - Sweden	AIR SWEDEN
SWO	Surninam International Victory Airline - Suriname	SIVA
SWP	Star Work Sky - Italy	STAR WORK
SWQ	Swift Air (Interstate Equipment Leasing) - United States	SWIFTFLIGHT
SWR	Swiss International Air Lines - Switzerland	SWISS
SWS	Sunwest Aviation (Lindquist Investment) - United States	SUNNY WEST
SWT	Swiftair - Spain	SWIFT
SWU	Swiss European Air Lines - Switzerland	EUROSWISS
SWV	Swe Fly - Sweden	FLYING SWEDE
SWW	Shovkoviy Shlyah - Ukraine	WAY AERO
SWX	Swazi Express Airways - Swaziland	SWAZI EXPRESS
SWY	Sky Jet - Switzerland	SWISSLINK
SWZ	Servair, Private Charter - Switzerland	SWISSBIRD
SXA	Southern Cross Aviation - United States	FERRY
SXC	Sky Exec Aviation Services - Nigeria	SKY EXEC
SXE	Southeast Express Airlines - United States	DOGWOOD EXPRESS
SXL	Air Salamis Ltd. - Cyprus	AIR SALAMIS
SXM	Servicios Aereos Sepecializados Mexicanos - Mexico	SERVIMEX
SXN	Sal Luftverkehrs GmbH - Germany	SAXON
SXP	Sky Express - Poland	EXPRESS SKY
SXR	Sky Express - RU	SKYSTORM
SXS	SunExpress - Turkey	SUNEXPRESS
SXT	Servicios De Taxi Aereo - Mexico	SERTA
SXX	Satellite Aero - United States	SATELLITE EXPRESS
SXY	Safari Express Cargo - Kenya	SAFARI EXPRESS
SXZ	Great Circle Aviation - US	STAGECOACH
SYA	Skyways - Argentina	LINEAS CARDINAL
SYC	Systec 2000 - United States	SYSTEC
SYE	Sheba Aviation - Yemen	UNKNOWN
SYF	Sky One Express Airlines - United States	SKY FIRST
SYG	Synergy Aviation - United Kingdom	SYNERGY
SYI	Sonalysts - United States	UNKNOWN
SYJ	Slate Falls Airways - Canada	UNKNOWN
SYK	Satsair - United States	AEROCAB
SYL	Aircompany Yakutia - Russia	AIR YAKUTIA
SYM	Skymasters - Equatorial Guinea	GUINEA SKYMASTER
SYN	Syncrude Canada - Canada	SYNCRUDE
SYR	Syrian Arab Airlines - Syrian Arab Republic	SYRIANAIR
SYS	Shawbury Flying Training Unit - United Kingdom	SHAWBURY
SYT	Aerosud Aviation - South Africa	SKYTRACK
SYV	Special Aviation Systems - United States	SPECIAL SYSTEM
SYX	Skywalk Airlines - United States	SKYWAY-EX
SYY	South African Historic Flight - South Africa	SKY COACH
SYZ	Southend Cargo Airlines - Zimbabwe	SOUTHEND
SZA	Aerolineas De El Salvador - El Salvador	AESA
SZB	Springbok Virtual - South Africa	SPRINGBOK
SZL	Swaziland Airlink - Swaziland	SWAZILINK
SZT	Servicios Aeronauticos Z - Mexico	AERO ZEE
TAA	Aeroservicios de La Costa - Mexico	AERO COSTA
TAB	TABA, Transportes Aereos Da Bacia Amazonica, S.A. - Brazil	TABA
TAC	Turbot Air Cargo - Senegal	TURBOT
TAD	Tranporte Aereo Dominicano - Dominican Republic	TRANS DOMINICAN
TAE	TAME - Ecuador	TAME
TAG	TAG Aviation USA - United States	TAG U-S
TAH	Air Moorea - France	AIR MOOREA
TAI	Taca International Airlines - SV	TACA
TAJ	Tunisavia - Tunisia	TUNISAVIA
TAK	Tatarstan Airlines - Russia	TATARSTAN
TAL	Talair - Papua New Guinea	TALAIR
TAM	TAM Linhas Aereas - Brazil	TAM
TAN	Zanair - Tanzania	ZANAIR
TAO	Aeromar - Mexico	TRANS-AEROMAR
TAP	TAP Portugal - Portugal	AIR PORTUGAL
TAQ	Taunus Air GmbH & Co K - Germany	TAUNUSAIR
TAR	Tunisair - Tunisia	TUNAIR
TAS	Lotus Airline - Egypt	LOTUS FLOWER
TAT	Grupo TACA - Costa Rica	TACA-COSTARICA
TAU	Transportes Aereos Tauro - Mexico	TRANSTAURO
TAV	Compania de Servicios Aereos Tavisa - Spain	TAVISA
TAX	Travelair - Germany	TRAVELAIR
TAY	TNT Airways - Belgium	QUALITY
TAZ	Transamazonica Colombia - Transporte Aereo de La Amazonia -	AMAZON
TBA	Transbrasil - Brazil	TRANSBRASIL
TBC	Turbine Air Cargo UK - United Kingdom	UNKNOWN
TBD	Thunderbird Tours - Canada	ORCA
TBE	Taxi Aero BAE - MX	TAXI BAIE
TBG	Tropical Airways - Haiti	UNKNOWN
TBH	Trinity Air Bahamas - Bahamas	UNKNOWN
TBI	TAB Express International - United States	TAB INTERNATIONAL
TBL	Aerotrebol - Mexico	AEROTREBOL
TBM	Taban Air Lines - Iran	TABAN AIR
TBN	Teebah Airlines - Sierra Leone	TEEBAH
TBO	Aero Taxi de Los Cabos - Mexico	AERO CABOS
TBR	Tubelair - Tunisia	TUBELAIR
TBS	Servicios Aereos Tribasa - Mexico	TRIBASA
TBX	Tobago Express - Trinidad and Tobago	TABEX
TCA	Tradewind Caribbean Airlines	TRADEWIND
TCB	Transporte del Caribe - Colombia	TRANSCARIBE
TCC	Trans Continental Airlines - Sudan	TRANSCAL
TCD	Tchad Airlines - Chad	TCHADLINES
TCE	Trans-Colorado Airlines - United States	TRANS-COLORADO
TCF	Shuttle America - United States	MERCURY
TCG	Thai Air Cargo - Thailand	THAI CARGO
TCH	Transcontinental Air - Bahrain	TRANS GULF
TCI	Air Turks and Caicos - Turks and Caicos Islands	KERRMONT
TCJ	TCB - Transportes Charter Do Brasil Ltda.	CHARTER BRASIL
TCK	Air Truks - Bulgaria	BUL TRUCKS
TCL	Coastal Air Transport - United States	TRANS COASTAL
TCM	Teledyne Continental Motors - United States	TELEDYNE
TCN	Trans Continental Airlines - United States	TRANSCON
TCO	Aerotranscolombina de Carga - Colombia	TRANSCOLOMBIA
TCP	Transcorp Airways - United Kingdom	TRANSCORP
TCR	Lanaes Aereas Trans Costa Rica - Costa Rica	TICOS
TCS	Transportes de Carga Aerea Especializada Y Servicios Aeronau	TRANSCAESA
TCT	Transcontinental Sur - Uruguay	TRANS-CONT
TCU	Transglobal Airways Corporation - Philippines	TRANSGLOBAL
TCV	TACV - Portugal	CABOVERDE
TCW	Thomas Cook Airlines - Belgium	THOMAS COOK
TCX	Thomas Cook Airlines - United Kingdom	KESTREL
TCY	Twin Cities Air Service - United States	TWIN CITY
TDA	Transcarga, S.A. - Costa Rica	TRANSCARGA
TDB	Welch Aviation - United States	THUNDER BAY
TDC	Tadair - Spain	TADAIR
TDE	Tellavia / Flight One - United States	TELLURIDE
TDG	Air Cargo Express - United States	TURBO DOG
TDI	Transportes Aereos de Ixtlan - Mexico	TRANSIXTLAN
TDM	Tandem Aero - Moldova	TANDEM
TDO	TRADO - Dominican Republic	TRADO
TDR	Trade Air - Croatia	TRADEAIR
TDS	Aerotraders - Hungary	TRADERS
TDT	Atlas Helicopters - United Kingdom	TRIDENT
TDV	Taxi Aero Nacional Del Evora - Mexico	TAXI EVORA
TDX	Tradewinds Airlines - United States	TRADEWINDS EXPRESS
TDY	Air Today - United States	AIR TODAY
TEA	Transeurope - Germany	TRANSEUROPE
TEB	Tenir Airlines - Kyrgyzstan	TENIR AIR
TEC	TEA Cyprus Ltd. - Cyprus	TEAK
TED	Aero Servicios Azteca - Mexico	AEROAZTECA
TEE	West Freugh DTEO - United Kingdom	TEEBIRD
TEF	Tecnicas Fotograficas - Spain	TECFOTO
TEH	Tempelhof Airways - United States	TEMPELHOF
TEL	Telford Aviation - United States	TELFORD
TEM	Tech-Mont Helicopter Company - Slovakia	TECHMONT
TEN	Tennessee Airways - United States	TENNESSEE
TEP	Transeuropean Airlines - Russia	TRANSEURLINE
TER	Territorial Airlines - United States	TERRI-AIRE
TES	TAES Transportes Aereos de El Salvador - El Salvador	TAES
TET	Tepavia-Trans Airlines - Moldova	TEPAVIA
TEU	TAG City Air - Germany	CITYWAYS
TEX	Catex - France	CATEX
TFA	Trans-Florida Airlines - United States	TRANS FLORIDA
TFB	Tair Airways - Philippines	ROYAL TEE-AIR
TFF	Talon Air - United States	TALON FLIGHT
TFG	MAS Airways - United Kingdom	TRAFALGAR
TFH	Thai Flying Helicopter Service - Thailand	THAI HELICOPTER
TFI	Transport Facilitators - United States	UNKNOWN
TFK	Transafrik International - Sao Tome and Principe	UNKNOWN
TFL	Arkefly - Netherlands	ARKEFLY
TFN	Norwegian Aviation College - Norway	SPRIT
TFO	Transportes Aereos del Pacifico - Mexico	TRANSPORTES PACIFICO
TFR	Trans Africa Airways G.E.S.A. - Equatorial Guinea	TRAFAIR
TFS	Freight Air Service Transport - Kenya	FAST TRANSPORT
TFT	Thai Flying Service - Thailand	THAI FLYING
TFU	213 Flight Unit - Russia	UNKNOWN
TFY	Tayside Aviation - United Kingdom	TAYSIDE
TFZ	Transport Africa (Zimbabwe) Ltd. - Zimbabwe	TRANSZIM
TGA	Trans Global Airlines - Hollywood	GLOBAL
TGC	TG Aviation - United Kingdom	THANET
TGE	Trabajos Aereos - Spain	TASA
TGI	Transportes Aereos Regionales - Mexico	TRANSPORTE REGIONAL
TGL	Trans-Atlantic Airlines Limited - The Gambia	TRANS-ATLANTIC
TGM	TAG Aviation Espana - Spain	TAG ESPANA
TGN	Trigana Air Service - Indonesia	TRIGANA
TGO	Transport Canada - Canada	TRANSPORT
TGS	Aerotranscargo, S.A. de C.V. - Mexico	CARGUERO
TGT	SAAB Nyge Aero - Sweden	TARGET
TGV	SNCF - FR	SNCF
TGW	Tiger Airways Australia - Australia	GO CAT
TGX	Transair Gabon] - Gabon	TRANSGABON
TGY	Trans Guyana Airways - Guyana	TRANS GUYANA
TGZ	Georgian Airways - Georgia	TAMAZI
THA	Thai Airways International - Thailand	THAI
THB	Spark Air - Thailand	THAI SABAI
THC	Tar Heel Aviation - United States	TARHEEL
THD	611897 Alberta Limited - Canada	DONUT
THE	Toumai Air Tchad - Chad	TOUMAI AIR
THF	Touraine Helicoptere - France	TOURAINE HELICO
THG	Thai Global Airline - Thailand	THAI GLOBAL
THJ	Thai Jet Intergroup - Thailand	THAI JET
THK	Turk Hava Kurumu Hava Taksi Isletmesi - Turkey	HUR KUS
THM	Airmark Aviation - Thailand	THAI AIRMARK
THN	International Security Assistance Force - Canada	ATHENA
THO	TACA De Honduras - Honduras	LEMPIRA
THR	Tehran Airline - Iran	TEHRAN AIR
THS	TAHIS - Transportes Aereos Hispanos, S.A.	TAHIS
THT	Air Tahiti Nui - France	TAHITI AIRLINES
THU	Thunder Airlines - Canada	AIR THUNDER
THY	Turkish Airlines - Turkey	TURKAIR
THZ	Trans Helicoptere Service - France	LYON HELIJET
TIA	Trans International Airlines - United States	TRANS INTERNATIONAL
TIB	TRIP Linhas Aï¿½reas - Brazil	TRIP
TIC	Travel International Air Charters - Zambia	TRAVEL INTERNATIONAL
TIE	Time Air - Czech Republic	TIME AIR
TIF	Tiffany Air Transport - Zimbabwe	TIFFANY
TIG	Tiga-Air - Armenia	TIGA-AIR
TIH	S C Ion Tiriac - Romania	TIRIAC AIR
TII	Aircompany ATI - Ukraine	AIRATI
TIK	Tic Air - Australia	TICAIR
TIL	Tajikistan International Airlines - Tajikistan	TIL
TIM	TEAM Transportes Aereos - Brazil	TEAM BRASIL
TIN	Taino Tours - Dominican Republic	TAINO
TIP	C and M Aviation - United States	TRANSPAC
TIR	Antair - Mexico	ANTAIR
TIS	Tesis - Russia	TESIS
TIW	Transcarga Intl Airways - Venezuela	TIACA
TJK	Tajikair - Tajikistan	TAJIKAIR
TJN	Tien-Shan - Kazakhstan	NERON
TJS	Tyrolean Jet Service - Austria	TYROLJET
TJT	Twin Jet - France	TWINJET
TJX	TopJets Virtual Fractions - USA	EXECUTIVE
TKC	Cargoturk Virtual - Turkey	CARGOTURK
TKE	Take Air Line - France	ISLAND BIRD
TKL	Taraz Air, Aircompany - Kazakhstan	SARISY
TKM	JM Family Aviation - US	TACOMA
TKO	Tretyakovo Air Transport Company - Russian Federation	TRETYAKOVO
TKR	Canadian Interagency Forest Fire Centre - Canada	TANKER
TKW	Samsung Techwin Co - KR	TECHWIN
TKX	Tropical International Airways - Saint Kitts and Nevis	TROPEXPRESS
TKY	Thai Sky Airlines - Thailand	THAI SKY
TLA	Translift Airways - Ireland	TRANSLIFT
TLB	Atlantique Air Assistance - France	TRIPLE-A
TLC	Caribbean Express - United States	CARIB-X
TLD	Aero Taxi Autlan - Mexico	AEREO AUTLAN
TLE	Aero Util - Mexico	AEROUTIL
TLF	Transport Africa - Sierra Leone	TRANS-LEONE
TLG	Investavia - KZ	TALGAT
TLL	Trans Atlantic Airlines - Sierra Leone	ATLANTIC LEONE
TLN	Atlantigo Linhas Aereas Sia - Brazil	ATALTLAS
TLO	Eagle Canyon Airlines - United States	TALON AIR
TLP	Tulip Air - Netherland	TULIPAIR
TLR	Air Libya Tibesti - Libya	AIR LIBYA
TLS	TLC Air - United States	TEALSY
TLT	Turtle Airways - Fiji	TURTLE
TLU	Aero Toluca Internactional - Mexico	AEROTOLUCA
TLV	Travelair - Uruguay	PAJAROS
TLW	Teamline Air - Austria	Teamline
TLX	Telesis Transair - United States	TELESIS
TLY	Top-Fly - Spain	TOPFLY
TMA	Trans Mediterranean Airlines - Lebanon	TANGO LIMA
TMC	Tarmac Aviation Ltd. - United Kingdom	TARMAC
TMD	Transmed Airlines - Egypt	UNKNOWN
TME	Aero Taxi del Centro de Mexico - Mexico	TAXICENTRO
TMG	Tri-MG Intra Asia Airlines - Indonesia	TRILINES
TMH	Taxis Turisticos Marakame - Mexico	TAXIMARAKAME
TMI	Tamir Airways - Israel	TAMIRWAYS
TMK	Tomahawk Airways - United States	TOMAHAWK
TML	TAM - Madagascar	TAM AIRLINE
TMM	TMC Airlines - United States	WILLOW RUN
TMN	Utair Avaition Joint-Stock Company - Russian Federation	TJUMAVI
TMP	Arizona Express Airlines - United States	TEMPE
TMQ	TRAM - Mauritania	TRAM AIR
TMR	Timberline Air - Canada	TIMBER
TMS	Temsco Helicopters - United States	TEMSCO
TMT	Trans Midwest Airlines - United States	TRANS MIDWEST
TMX	Tramon Air - South Africa	TRAMON
TMY	Transportes Aereos del Mundo Maya - Mexico	MUNDO MAYA
TMZ	Tranporte Amazonair - Venezuela	TRANS AMAZON
TNA	TransAsia Airways - Taiwan	TransAsia
TNB	Trans Air-Benin - Benin	TRANS-BENIN
TNC	National Aviation Consultants - Canada	NATCOM
TND	Aero Taxis Cessna - Mexico	TAXIS CESSNA
TNE	Taxis Aereos del Noroeste - Mexico	TAXINOROESTE
TNF	Transafricaine - Burkina Faso	TRANSFAS
TNG	Transcargo Virtual - Italy	TRANSCARGO
TNI	Transair International Linhas Aereas - United States	TRANSINTER
TNK	Alfa Line - Kazakhstan	TENGO
TNL	Tengeriyn Ulaach Shine - Mongolia	SKY HORSE
TNM	Tiara Air - Aruba	TIARA
TNO	Aerotransporte de Carga Union - Mexico	AEROUNION
TNP	Transped Aviation - Austria	TRANSPED
TNR	Tanana Air Services - United States	TAN AIR
TNS	Servicos Aereos Do Vale Amazonico S/A - Brazil	SAVA SERVICOS
TNT	Trans North Turbo Air - Canada	TRANS NORTH
TNV	Transnorthern - United States	TRANSNORTHERN
TNW	Trans Nation Airways - Ethiopia	TRANS-NATION
TNX	Trener Ltd - Hungary	TRAINER
TNY	Twin Town Leasing Company - United States	TWINCAL
TOA	Tropical Airlines Ltd. - Jamaica	TROPICAL AIRLINES
TOB	Tobruk Air - Libya	TOBRUK AIR
TOC	Aerotropical - Mexico	TROPICMEX
TOF	RAF Topcliffe Flying Training Unit - United Kingdom	TOPCLIFFE
TOH	Air Tomisko - Serbia	TOMISKO CARGO
TOJ	TOJ Airlines - Tajikistan	TOJ AIRLINE
TOK	Airlines PNG - Papua New Guinea	BALUS
TOL	Tol-Air Services - United States	TOL AIR
TOM	Thomsonfly - United Kingdom	TOMSON
TON	Aero Tanala - Mexico	AEROTANALA
TOO	Alieurope - Italy	ALIEUROPE
TOP	Top Air - Turkey	AIR TOP
TOR	Toronto Airways - Canada	TORONTAIR
TOS	Tropic Air - Belize	TROPISER
TOT	Totavia - Canada	UNKNOWN
TOW	Tower Air - United States	TEE AIR
TOX	Neosiam Airways - Thailand	SKY KINGDOM
TOY	Toyota Canada - Canada	TOYOTA
TPA	TAMPA - Colombia	TAMPA
TPB	Aero Tropical - Angola	AERO TROPICAL
TPC	Air Calï¿½donie - France	AIRCAL
TPD	Top Speed - Austria	TOP SPEED
TPE	TAP - Transportes Aereos Presidente S/A	PRESIDENTE
TPF	Taxis Aereos del Pacifico - Mexico	TAXIPACIFICO
TPG	Transportes Aereos Pegaso - Mexico	TRANSPEGASO
TPI	Topair - Czech republic	TOPAIR
TPK	Air Horizon - Chad	TCHAD-HORIZON
TPL	TAR Interpilot - Mauritania	INTERPILOT
TPM	Transpais Aereo - Mexico	TRANSPAIS
TPN	Transportacion Aerea del Norte - Mexico	AEREA DELNORTE
TPO	Aero Taxi del Potosi - Mexico	TAXI-POTOSI
TPP	Transpac Express - Australia	TRANS EXPRESS
TPQ	Tropic Airlines - FR	TROPICWEST
TPR	Taxis Aereos De Parral - Mexico	TAXIS PARRAL
TPS	TAPSA Transportes Aereos Petroleros - Argentina	TAPSA
TPT	Transportes Aereo del Sureste - Mexico	TASSA
TPU	Trans American Airlines (Trans Am) - Peru	TRANS PERU
TPV	Thai Pacific Airlines Business - Thailand	THAI PACIFIC
TPX	Transportes Aereos De Xalapa - Mexico	TRANSXALAPA
TPY	Trans-Provincial Airlines - Canada	TRANS PROVINCIAL
TPZ	Transportes La Paz - Mexico	TRANSPAZ
TQF	United Kingdom Royal VIP Flights - United Kingdom	RAINBOW
TQM	JM Family Aviation - United States	TACOMA
TQN	Taquan Air Services - United States	TAQUAN
TQR	Transportacion Aerea De Queretaro - Mexico	TRANSQUERETARO
TQS	Aeroturquesa - Mexico	AEROTURQUESA
TQV	Trans Quebec Virtual - Quebec	TRANS QUEBEC
TRA	Transavia Holland - Netherlands	TRANSAVIA
TRB	Ukraine Transavia - Ukraine	KIROVTRANS
TRC	Trans Air Charter - United States	TRACKER
TRD	Trans Island Air - Barbados	TRANS ISLAND
TRE	Trans-Eastern Airlines Ltd. - Kenya	TRANS-EAST
TRF	Taxi Air Fret - France	TAXI JET
TRG	TRAGSA (Medios Aereos) - Spain	UNKNOWN
TRH	Airmark Aviation - United States	TRANSTAR
TRI	Executive Flight Operations Ontario Government - Canada	TRILLIUM
TRJ	Turcjet	Turcjet
TRK	Turkair	Turkair
TRL	Starlite Aviation - South Africa	STARSTREAM
TRM	Transport Aerien de Mauritanie - Mauritania	SOTRANS
TRN	Servicios Aereos Corporativos - Mauritania	AEROTRON
TRO	Tropic Airlines-Air Molokai - United States	MOLOKAI
TRP	Maryland State Police - United States	TROOPER
TRQ	Turdus Airways - Netherland	HUNTER
TRR	Tramson Limited - Sudan	TRAMSON
TRS	AirTran Airways - United States	CITRUS
TRT	Trans Arabian Air Transport - Sudan	TRANS ARABIAN
TRU	Triangle Airline (Uganda) - Uganda	TRI AIR
TRW	Transwestern Airlines of Utah - United States	TRANS-WEST
TRX	Air Terrex - Czech Republic	TERREX
TRY	Tristar Airlines - United States	TRISTAR AIR
TRZ	TransMeridian Airlines - United States	TRANS-MERIDIAN
TSA	Transair France - France	AIRTRAF
TSB	Transports A‚riens Du Benin (T.A.B.) - Benin	AIR BENIN
TSC	Air Transat - Canada	TRANSAT
TSD	TAF-Linhas Aereas - Brazil	TAFI
TSE	Transmile Air Services - Malaysia	TRANSMILE
TSF	Trans-African Airways, Inc. - Liberia	AFRICANWAY
TSG	Trans-Air-Congo - Republic of the Congo	TRANS-CONGO
TSH	Regional 1 Airlines - Canada	TRANSCANADA
TSI	Transport'air - France	TRANSPORTAIR
TSJ	Trast Aero - Kyrgyzstan	TRAST AERO
TSK	Trast Aero - Kyrgyzstan	TOMSK-AVIA
TSL	Thai Aviation Services - Thailand	THAI AVIATION
TSM	Trans Sayegh Airport Services - Lebanon	UNKNOWN
TSN	Trans-Air Services - Nigeria	AIR TRANS
TSO	TrasAvia	TrasAvia
TSP	Transportes Aereos Inter - Guatemala	TRANSPO-INTER
TSQ	airtransse - Japan	AIRTRA
TSR	Trans Service Airlift - Democratic Republic of Congo	TRANS SERVICE
TSS	Tri-State Aero - United States	TRI-STATE
TST	TRAST - Kazakhstan	TRAST
TSU	Gulf & Caribbean Cargo / Contract Air Cargo - United States	TRANSAUTO
TSV	Tropair Airservices - United Kingdom	TROPIC
TSW	Transwings - Switzerland	SWISSTRANS
TSX	Thai Star Airlines - Thailand	THAI STAR
TSY	Tristar Air - Egypt	TRIPLE STAR
TTA	TTA - Sociedade de Transporte e Trabalho Aereo - Mozambique	KANIMANBO
TTB	Aerolineas Turisticas del Caribe - Mexico	AERO TURISTICAS
TTC	Transteco - Angola	TRANSTECO
TTE	Avcenter - United States	TETON
TTF	224th Flight Unit - Russia	CARGO UNIT
TTG	Transtel SA - Togo	TRANSTEL
TTH	Tarhan Tower Airlines - Turkey	UNKNOWN
TTL	Total Linhas Aereas - Brazil	TOTAL
TTM	Societe Tout Tranport Mauritanien - Mauritania	TOUT-AIR
TTN	Lip-Avia - Kazakhstan	ZAVOD
TTO	Air Transport and Transit Regional - MG	TRANSPORT TRANSIT
TTP	Triple O Aviation - Nigeria	MIGHTY WING
TTR	Transportaciones Y Servicios Aereos - Mexico	TRANSPORTACIONES
TTS	Transporte Aereo Tecnico Ejecutivo - Mexico	TECNICO
TTU	TTT Air - Czech Republic	VALDA
TTX	Extraordin Air Aviation and Charter - US	TWISTER
TUA	Turkmenhovayollary - Turkmenistan	TURKMENISTAN
TUC	Turismo Aereo de Chile - Chile	TURICHILE
TUD	Flight Alaska - United States	TUNDRA
TUI	TUIfly - Germany	TUIJET
TUK	Ocean Wings Commuter Service - United States	TUCKERNUCK
TUL	Tulpar Air - Russia	URSAL
TUM	Tyumenspecavia - Russia	TUMTEL
TUN	Air Tungaru - Kiribati	TUNGARU
TUO	Taxi Aereo Turistico - Mexico	TURISTICO
TUP	Aviastar-Tu - Russia	TUPOLEVAIR
TUR	Tauernair - Austria	TURBOJET
TUS	ABSA - Aerolinhas Brasileiras - Brazil	ABSA Cargo
TUU	Compania Aerea de Servicios Tur Air - Spain	TUR SERVICE
TUV	Turavia - Poland	TURAVIA
TUX	Tulpar Air Service - Kazakhstan	TULPA
TUY	Linea Turistica Aerotuy - Venezuela	AEREOTUY
TUZ	Tuna Aero - Sweden	TUNA
TVA	Trans America Airlines - United States	TRANS-AMERICA
TVF	Transavia France - FR	FRANCE SOLEIL
TVH	Trabajos Aereos Vascongados - Spain	TRAVASA
TVI	TECA	TECA
TVJ	Tavaj Transportes Aereos Regulares S/A - Brazil	TAVAJ
TVL	Travel Service - Hungary	TRAVEL SERVICE
TVN	Transcolombiana de Aviacion, S.A. - Colombia	TAVINA
TVO	Transavio - Italy	TRANS-BALLERIO
TVR	Tavrey Airlines - Ukraine	TAVREY
TVS	Travel Service - Czech Republic	SKYTRAVEL
TVT	Transaviation, S.A. - Spain	TRANSAVIATION
TWA	Trans World Airlines - United States	TWA
TWC	Taraz Wings - Kazakhstan	TARAZ
TWE	Transwede Airways - Sweden	TRANSWEDE
TWF	247 Jet Ltd - United Kingdom	CLOUD RUNNER
TWG	Trans Wing A.S. - Norway	TRANSWING
TWI	Tailwinds International - USA	TAILWINDS
TWJ	Twinjet Aircraft Sales - United Kingdom	UNKNOWN
TWL	Tradewinds Aviation - Canada	TRADEWINDS CANADA
TWM	Transairways - Mozambique	UNKNOWN
TWN	Avialeasing Aviation Company - Uzbekistan	TWINARROW
TWO	Twente Airlines - Netherlands	COLIBRI
TWW	Trans Air Welwitchia - Angola	WELWITCHIA
TWY	Tyrol Air Ambulance - TAA - AT	TYROL AIR AMBULANCE - TAA
TXA	Texair Charter - United States	OKAY AIR
TXB	Bell Helicopter Textron - Canada	TEXTRON
TXC	Transaviaexport - Belarus	TRANSEXPORT
TXD	Aerotaxis del Noroeste - Mexico	TAXI OESTE
TXE	Transilvania Express - Romania	TRANSAIR EXPRESS
TXF	Aerotaxis Alfe - Mexico	ALFE
TXI	Aereotaxis - Mexico	AEREOTAXIS
TXL	Taxi Aereo Cozatl - Mexico	TAXI COZATL
TXM	Taxi Aereo de Mexico - Mexico	TAXIMEX
TXN	Texas National Airlines - United States	TEXAS NATIONAL
TXO	Taxis Aereos de Sinaloa - Mexico	TAXIS SINALOA
TXR	Taxirey - Mexico	TAXIREY
TXS	Texas Airlines - United States	TEXAIR
TXT	Texas Air Charters - United States	TEXAS CHARTER
TXU	ATESA Aerotaxis Ecuatorianos - Ecuador	ATESA
TXV	Puerto Vallarta Taxi Aereo - Mexico	TAXIVALLARTA
TXX	Austin Express - United States	COWBOY
TXZ	Tex Star Air Freight - United States	TEX STAR
TYA	Airline Taimy - Russia	TAIMYR
TYF	Tayflite - United Kingdom	TAYFLITE
TYG	Trygg-Flyg - Sweden	TRYGG
TYM	Tyumen Airlines - Russian Federation	AIR TYUMEN
TYR	Austrian Arrows - Austria	TYROLEAN
TYW	Tyrol Air Ambulance - Austria	TYROL AMBULANCE
TZA	Aero Tomza - Mexico	AERO TOMZA
TZE	Transporte Aereo Ernesto Saenz - Mexico	TRANSPORTE SAENZ
TZK	Tajikstan - Tajikistan	TAJIKSTAN
TZL	Tselina - Kazakhstan	ZELIN
TZT	Air Zambezi - Zimbabwe	ZAMBEZI
TZU	Servicios Aereos Tamazula - Mexico	TAMAZULA
UAA	University Air Squadron - United Kingdom	UNKNOWN
UAB	United Arabian Airlines - Sudan	UNITED ARABIAN
UAC	United Air Charters - Zimbabwe	UNITAIR
UAD	University Air Squadron - United Kingdom	UNKNOWN
UAE	Emirates Airline - United Arab Emirates	EMIRATES
UAF	United Arab Emirates Air Force - United Arab Emirates	UNIFORCE
UAG	Afra Airlines - Ghana	AFRALINE
UAH	University Air Squadron - United Kingdom	UNKNOWN
UAI	Union Africaine des Transports - Ivory Coast	UNAIR
UAJ	University Air Squadron - United Kingdom	UNKNOWN
UAK	Kiev Aviation Plant - Ukraine	AVIATION PLANT
UAL	United Airlines - United States	UNITED
UAN	Aviaton - Ukraine	AVIATION
UAP	Antonov Airtracker - Ukraine	AIRTRACKER
UAR	Aerostar Airlines - Ukraine	AEROSTAR
UAS	Universal Air Services - France	UNIVERSAL
UAT	Ukraine Atlantic - Ukraine	UKRAINE ATLANTIC
UBA	Myanma Airways - Myanmar	UNIONAIR
UCA	CommutAir - United States	COMMUTAIR
UCC	Uganda Air Cargo - Uganda	UGANDA CARGO
UCH	US Airports Air Charter - United States	US CHARTER
UCK	Air Division of the Eastern Kazakhstan Region - Kazakhstan	GALETA
UCO	Ucoaviacion - Spain	UCOAVIACION
UCR	Aero-Charter Ukraine - Ukraine	CHARTER UKRAINE
UCS	United Carriers Systems - United States	UNITED CARRIERS
